	Facility #	Facility Name	Facility Name Overflow	Facility Street	Owner Name 	Owner Name Overflow	Business Type	Original Issuance Date	Last Renewal Date	Expiration Date
3898	7073553	PERFORMANCE         	MOTORCARS INC       	1401 ROUTE 9        	JACOB LAVIAN        	                    	RS 	05/15/2009	02/11/2019	04/30/2021
3899	7117467	QUALITY AUTOMOTIVE  	COLLISION REPAIR    	228 MYERS CORNER RD 	JOSE CURET          	ENTERPRISES INCORP  	RSB	03/12/2014		02/28/2016
3900	7088028	RADD AUTOMOTIVE INC 	                    	1441 RT 376         	RICHARD R MICHELI   	                    	RS 	08/02/2000	07/23/2020	07/31/2022
3901	7118978	RPH AUTO REPAIR INC 	                    	2780 WEST MAIN ST   	ROBERT P HENSHAW    	                    	RS 	01/26/2015	11/06/2018	12/31/2020
3902	7048398	SWARTZ AUTO BODY &  	GARAGE INC          	895-897 RT 376      	MARY M SWARTZ       	                    	RS 	06/29/1989	04/29/2019	05/31/2021
3903	7042761	TIRE KING OF        	WAPPINGERS INC      	206 HOPEWELL RD     	PETER TOMASIC       	                    	RS 	03/11/1988	02/07/2020	02/28/2022
3904	7092051	VALVOLINE INSTANT   	OIL CHANGE          	1788 SOUTH RD       	GALENA ASSOCIATES   	LLC                 	RS 	03/25/2002	02/28/2020	02/28/2022
3905	7089363	VALVOLINE INSTANT   	OIL CHANGE          	1158 RT 9           	GALENA ASSOCIATES   	LLC                 	RS 	03/08/2001	01/15/2019	02/28/2021
3906	7089309	VOLVO CARS HUDSON   	VALLEY              	1152 RT 9           	HUDSON VALLEY       	AUTOMOTIVE PRTRS LLC	RS 	02/16/2001	11/13/2018	01/31/2021
3907	7031140	FRANK & BROTHER AUTO	BODY                	1222 RT 9           	SALVATORE ILARDI    	                    	RSB	03/15/1988	02/12/2016	02/28/2018
3908	3140610	FISHKILL PLNS GARAGE	IN THE ESTATE OF    	752 OLD ROUTE 9N    	JAMES R VIGNOGNA    	                    	RS 	12/26/1979	12/04/2015	11/30/2017
3909	7101321	LIPIROS REDLINE     	AUTOMOTIVE LLC      	2087 ROUTE 9D       	BILLY LIPIRO JR     	                    	RS 	03/10/2006	01/29/2020	02/28/2022
3910	3140017	POUGHKEEPSIE NISSAN 	INC                 	1445 ROUTE 9        	ERIC HARTMANN       	                    	RS 	12/09/1981	05/01/2019	05/31/2021
3911	7123931	TOP NOTCH AUTOMOTIVE	                    	11 DELAVERGNE AVE   	ROBERT P TABER      	                    	RS 	05/25/2018	03/16/2020	04/30/2022
3912	7114414	BOBBY SHOPPE INC    	                    	25 SPROUT CRK CT 3  	TONI JEAN FERRARA   	                    	RS 	07/24/2012	06/25/2020	06/30/2022
3913	7098503	MAVIS DISCOUNT TIRE 	                    	1479 RT 9           	MAVIS TIRE SUPPLY   	LLC                 	RS 	11/01/2004	10/20/2020	10/31/2022
3914	7117218	BRILLIANT AUTO WORKS	INC                 	1663 ROUTE 9        	ANTHONY M           	FERNANDOPULLE       	RS 	01/17/2014		12/31/2015
3915	7125489	CHECK ENGINE CHUCK  	LLC                 	25 MEADOW DR        	RICHARD FASULO      	                    	RS 	04/30/2019		03/31/2021
3916	7125898	PATIOT AUTOMOTIVE   	                    	752 SGT PLMTR WAY S1	BRIAN DARCY         	                    	RS 	07/25/2019		06/30/2021
3917	7029943	JACKS AUTO SERVICE  	INC                 	RT 22 & RT 44       	JACK A GREGORY      	                    	RS 	04/22/1985	02/07/2019	03/31/2021
3918	7108201	KB PERFORMANCE INC  	                    	4196 ROUTE 22       	EDWARD C BISHOP     	                    	RS 	04/27/2009	03/15/2019	03/31/2021
3919	7038098	STANDARD REPAIR INC 	                    	4409 RTE 22         	ROBERT F WHALEN     	                    	RS 	03/12/1987	01/24/2019	02/28/2021
3920	7070507	BOBS AUTO REPAIRS   	                    	35 PARMELEE RD      	JOANN BROWN         	                    	RS 	04/26/1995	02/07/2019	03/31/2021
3921	7126479	DOVER AUTO BODY LLC 	                    	6456 ROUTE 55       	MOHAMED MATMATI     	                    	RSB	12/17/2019		11/30/2021
3922	7002143	DOVER AUTO BODY SHOP	                    	6456 RT 55          	ANTHONY F BALDINO   	                    	RSB	10/19/1981	07/21/2017	09/30/2019
3923	7069446	FAIRWIND AUTO REPAIR	                    	RT 22 SOUTH         	MIROSLAW CZUSZEL    	ETAL                	RS 	02/01/1995	01/29/2019	01/31/2021
3924	3140445	HOAGS COR REPAIRS   	                    	PLEASANT RIDGE RD   	KENNETH P HOAG      	                    	RS 	05/28/1981	05/13/2019	05/31/2021
3925	7038059	SOUTH EAST AUTO     	RECYCLE INC         	RT 22&WINGDAL MTN RD	JORGE B MERCHAN     	                    	RS 	09/26/1989	01/07/2019	02/28/2021
3926	7038299	WESTCHESTER MODULAR 	HOME ERECTORS INC   	30 REAGANS MILL RD  	CHARLES W HATCHER   	                    	RS 	02/18/1998	01/24/2019	02/28/2021
3927	7105724	WHITE FARM          	WINDSHIELD REPAIR   	26 WHITE FARM ROAD  	PETER W YAGER       	                    	RS 	03/17/2008	02/28/2020	02/28/2022
3928	7120582	WINGDALE AUTOMOTIVE 	                    	1827 ROUTE 22       	GIANNIS AUTOMOTIVE  	OF WINGDALE INC     	RS 	02/04/2016	11/07/2019	01/31/2022
3929	7123281	JNR SERVICES LLC    	                    	4 COMMERCE CT SUITE3	JEFFREY A ORGEN     	                    	RSB	11/30/2017	10/04/2019	10/31/2021
3930	7123451	RHJ COLLISION INC   	                    	1222 ROUTE 9        	ROBERT JOHNSON      	                    	RSB	01/08/2018	12/11/2019	12/31/2021
3931	7122617	QUALITY AUTOMOTIVE  	COLLISION REPAIR    	228 MYERS CORNER RD 	JOSE CURET          	ENTERPRISES INC     	RS 	08/10/2017	06/28/2019	07/31/2021
3932	7124444	B&D MASTER AUTO     	REPAIR 11 INC       	1663 RT9            	NUBE A QUIZHPI      	GUAMAN              	RS 	08/24/2018	08/14/2020	07/31/2022
3933	7123183	VIGNOGNA PERFORMANCE	                    	752 SRGNT PLMTER WAY	JAMES R VIGNOGNA    	                    	RS 	11/10/2017	10/31/2019	10/31/2021
3934	7059327	ADESA BUFFALO       	                    	12200 MAIN ST       	ADESA NEW YORK LLC  	                    	RS 	08/21/1992	05/21/2020	05/31/2022
3935	7103149	BUCKS MOTORSPORTS   	INC                 	13090 MAIN RD RT5   	JAN D SCHAFER       	                    	RS 	12/22/2006	10/16/2020	11/30/2022
3936	5150906	DICK WALSER SERV INC	                    	13677 MAIN RD       	WILLIAM BOYCE       	                    	RS 	10/15/1981	08/05/2017	09/30/2019
3937	7099450	DOUGS SERVICE CENTER	                    	13523 MAIN RD       	DOUGLAS P LEWIS     	                    	RS 	04/26/2005	03/15/2019	03/31/2021
3938	7086930	MAPLE ROAD AUTO     	REPAIR              	8098 MAPLE RD       	JEFFREY C POSS JR   	                    	RS 	03/09/2000	01/21/2020	02/28/2022
3939	7107556	PHANTOM GARAGE      	                    	13428 MAIN ROAD     	27 REGENCY COURT LLC	                    	RS 	01/07/2009	12/30/2014	12/31/2016
3940	7049254	RENNS AUTO PARTS    	SERVICE INC         	18 MECHANIC ST      	DARWIN J EULENBURG  	                    	RS 	09/21/1989	06/28/2019	08/31/2021
3941	7065930	SUMMIT TRUCK AND    	AUTO INC            	11672 MAIN RD       	CLIFFORD DANIEL     	ALBRECHT            	RS 	02/04/2003	01/28/2020	02/28/2022
3942	7090275	VILLAGE AUTO        	                    	12690 MAIN RD STE 2 	RODGERS VILLAGE AUTO	INC                 	RS 	06/13/2001	05/23/2019	05/31/2021
3943	7119938	A1 ENTERPRISES OF   	WNY INC             	11303 GENESEE STREET	WILLIAM E KALENDA   	III                 	RS 	09/01/2015	06/22/2019	08/31/2021
3944	7127317	A1 ENTERPRISES OF   	WNY INC             	13500 GENESEE STREET	WILLIAM E KALENDA   	                    	RS 	09/04/2020		08/31/2022
3945	7118094	ADAM MAZZ AUTO      	                    	11625 BROADWAY      	ADAM C MAZZARIELLO  	                    	RS 	07/15/2014	06/21/2016	06/30/2018
3946	7095711	ALDEN AUTOMOTIVE INC	                    	13151 BROADWAY      	JEREMY M RATAJCZYK  	                    	RS 	09/19/2003	08/23/2019	08/31/2021
3947	5150456	ALDEN TRUCKS LTD    	                    	2731 TOWNLINE RD    	CURTIS ONEILL       	                    	RS 	09/24/1981	08/20/2019	09/30/2021
3948	7094317	A&N ENTERPRISES     	                    	13560 GENESEE STREET	ALAN R PIASECKI     	                    	RS 	03/10/2003	02/20/2019	02/28/2021
3949	7081936	BNH AUTO REPAIR     	                    	1331 TWO ROD RD     	BRIAN JUDE HOLMES   	                    	RS 	07/03/1998	06/09/2020	06/30/2022
3950	7116516	CARS 4 LESS         	                    	11675 BROADWAY      	BRUCE A WEBER       	                    	RS 	05/30/2014	07/06/2015	07/31/2017
3951	7110398	CJS COMPLETE AUTO   	                    	11312 WALDEN AVENUE 	CHERYL R HERSHBERGER	                    	RS 	06/02/2010	05/29/2020	05/31/2022
3952	7062290	DIVERSIFIED         	AUTOMOTIVE SERVICES 	13374 BROADWAY      	MARCUS G KARLNOSKI  	LLC                 	RS 	03/25/1993	02/15/2019	02/28/2021
3953	7043580	DON ZOLADZ TIRE     	SALES               	13989 BROADWAY      	DONALD ALAN ZOLADZ  	                    	RS 	06/14/1991	04/26/2016	04/30/2018
3954	7004901	DROGI & SONS INC    	                    	12182 WALDEN AVE    	JOHN M DROGI JR     	                    	RSB	05/12/1982	05/13/2020	04/30/2022
3955	7115191	D&S AUTOMOTIVE INC  	                    	13450 BROADWAY ST   	DANTCHO I DIMITROV  	                    	RS 	12/07/2012	10/03/2014	11/30/2016
3956	7006052	FOUR CORNER         	AUTOMOTIVE          	12366 BROADWAY      	MICHAEL F RUSS      	                    	RS 	06/01/1982	05/08/2018	04/30/2020
3957	7037433	GILLENS EXPERT AUTO 	INC                 	12089 BROADWAY      	EARL F GILLEN       	                    	RSB	01/08/1987	12/21/2018	12/31/2020
3958	7099060	IMPALA BROTHERS     	ENTERPRISES LLC     	13409 BROADWAY      	VINCENT BEISIEGEL   	                    	RS 	02/25/2005	01/03/2019	01/31/2021
3959	7079309	JIMMY SPEED         	                    	11625 BROADWAY      	JAMES D CALKINS     	                    	RS 	08/25/1997	06/05/2013	07/31/2015
3960	7000220	LEONARD WEGLARSKI   	                    	12486 UEBELHOER RD  	LEONARD WEGLARSKI   	                    	RS 	03/24/1981	01/25/2019	02/28/2021
3961	7082786	LM STONE & TOPSOIL  	LTD                 	11190 WALDEN AVE    	ANGELA MCBRIDE      	                    	RS 	09/25/1998	08/04/2020	08/31/2022
3962	7121963	MATTS AUTO TRUCK AND	TRAILER SALES       	11595 GENESEE STREET	MATTHEW MALINOVSKY  	                    	RS 	01/27/2017	01/25/2019	12/31/2020
3963	7069833	MILLGROVE SERVICE   	CENTER INC          	11603 GENESEE ST    	DEBORAH GOMOLSKI    	SZEFLER             	RS 	02/23/1995	01/31/2019	01/31/2021
3964	7122398	POWERSHOUSE SERVICES	INC                 	12080 WALDEN AVENUE 	DAVID G POWERS      	                    	RS 	06/28/2017	05/06/2019	05/31/2021
3965	7082699	SELECT AUTO SALES   	CENTER              	11675 BROADWAY      	MAUREEN COONLY      	                    	RS 	10/20/2000	08/30/2018	08/31/2020
3966	7125292	TOWNLINE COLLISION  	INC                 	2575 TOWNLINE RD    	JEANNETTE A KAMYSZ  	                    	RSB	03/12/2019		02/28/2021
3967	7044961	WHIPS AUTOMOTIVE SER	                    	11130 WALDEN AV     	HARMON O WHIPPLE 3  	                    	RS 	09/02/1988	08/29/2018	08/31/2020
3968	7121616	ZOLADZ AUTO CENTER  	LLC                 	13989 BROADWAY      	LAURA DULSKI        	                    	RS 	11/03/2016	10/31/2018	10/31/2020
3969	7105447	AAA CAR CARE PLUS   	                    	2131 EGGERT RD      	AAA WESTERN AND     	CENTRAL NEW YORK INC	RS 	01/28/2008	12/18/2017	12/31/2019
3970	7113945	AAMCO TRANSMISSIONS 	                    	3454 SHERIDAN DRIVE 	RENOVIC INC         	                    	RS 	04/20/2012	04/01/2020	03/31/2022
3971	7125014	ALL STAR AUTO CENTER	INCORPORATED        	3005 NF BLVD SUITE 1	JOSEPH B POLLAK     	                    	RS 	01/14/2019		12/31/2020
3972	7101878	AMERICAN AUTO WORLD 	INC                 	733 NIAGARA FALLS BL	JOSEPH A SARCINELLI 	                    	RS 	05/22/2006	10/05/2020	04/30/2022
3973	7030938	AMERICAN PERFORMNC &	MANUFACTURING INC   	180 IRWIN RD        	DAVID E PHILLIPS    	                    	RS 	07/23/1985	05/23/2019	06/30/2021
3974	7119530	AMHERST AUTOMOTIVE  	LLC                 	2753 NIAGARA FLS BLV	JONATHAN DAVID SNELL	                    	RS 	06/02/2015	05/02/2019	05/31/2021
3975	7056952	AMHERST CAR CARE    	CENTER              	3955 HARLEM RD      	SCHLEPPER INC       	                    	RS 	11/05/1991	08/12/2019	10/31/2021
3976	7113354	AUTO COLLISION &    	GLASS               	3766 SHERIDAN DRIVE 	UNITED AUTO GROUP OF	WNY LLC             	RSB	12/14/2011	11/20/2019	11/30/2021
3977	7037793	BASIL RESALE CENTER 	                    	4131 SHERIDAN DRIVE 	BASIL LEASE CORP    	                    	RS 	09/21/1989	11/09/2018	01/31/2021
3978	7126465	BELLRENGS TOWING INC	                    	2131 EGGERT ROAD    	MICHAEL BELLRENG    	                    	RS 	12/13/2019		11/30/2021
3979	7127361	BLACK GOLD RESALE   	CENTER              	733 NIGRA FALLS BLVD	SARMAD SABIR        	                    	RS 	09/17/2020		08/31/2022
3980	7124738	CARMAX              	                    	1881 NIAGARA FLS BLV	CARMAX AUTO         	SUPERSTORE INC      	RS 	10/30/2018	09/18/2020	09/30/2022
3981	7108813	CARSTAR COLLISION OF	AMHERST INC         	2915 NIAGARA FLS BLV	DAVID M SNELL       	                    	RSB	08/18/2009	06/06/2019	07/31/2021
3982	7107278	COLE MUFFLER        	                    	3280 SHERIDAN DRIVE 	MAVIS TIRE NY LLC   	                    	RS 	12/05/2008	11/26/2018	11/30/2020
3983	7117808	COLLISION MASTERS II	LLC                 	3696 SHERIDAN DRIVE 	FRANK J TODARO      	                    	RSB	05/22/2014	03/26/2016	04/30/2018
3984	5150417	DANIEL A KNOLL MOBIL	SERV                	3005 NIAGARA FLLS BV	DANIEL A KNOLL      	                    	RS 	11/15/1977	08/06/2019	09/30/2021
3985	7103466	DELTA SONIC CARWASH 	SYSTEMS INC         	1355 NIAGARA FLLS BL	RONALD E BENDERSON  	                    	RS 	02/20/2007	02/01/2019	01/31/2021
3986	7093566	DUNN TIRE           	                    	3424 SHERIDAN DR    	DUNN TIRE LLC       	                    	RS 	11/01/2002	09/23/2020	10/31/2022
3987	7090070	ERIN&BILLS AUTMTVE& 	TRANSPORT INC       	140 IRWIN PLACE     	ERIN D THOMAS       	                    	RS 	05/30/2001	04/04/2019	04/30/2021
3988	7009720	FIRESTONE COMPLETE  	AUTO CARE           	3931 MAPLE RD       	BFS RETAIL &        	COMMERCIAL OPRTN LLC	RS 	03/29/1983	02/07/2019	03/31/2021
3989	5150696	FIRESTONE COMPLETE  	AUTO CARE           	995 NIAGARA FLL BLVD	BFS RETAIL &        	COMMERCIAL OPRTN LLC	RS 	11/14/1979	08/05/2019	09/30/2021
3990	7103138	GLASS AMERICA       	                    	791 WEHRLE          	GLASS AMERICA       	MIDWEST INC         	RS 	12/20/2006	11/07/2014	11/30/2016
3991	5150487	GOODYEAR AUTO       	SERVICE CENTER      	7128 TRANSIT RD     	THE GOODYEAR TIRE&  	RUBBER CO           	RS 	10/21/1981	08/08/2019	09/30/2021
3992	7007268	K&A AUTO REPAIRS INC	                    	1784 EGGERT ROAD    	JERRY KACZOR        	                    	RS 	10/13/1982	08/19/2020	09/30/2022
3993	7122912	LOTUS WNY INC       	                    	3676-3696 SHRIDN DR 	MATTHEW SERWACKI    	                    	RS 	09/20/2017	08/06/2019	08/31/2021
3994	7124333	MAVIS DISCOUNT TIRE 	                    	1435 NGR FALLS BLVD 	MAVIS TIRE SUPPLY   	LLC                 	RS 	08/10/2018	07/24/2020	07/31/2022
3995	5151969	MIKE BARNEY NISSAN  	                    	3676 SHERIDAN DR    	MIKE BARNEYS SUPER  	SPORTS INC          	RS 	05/06/1981	04/23/2019	05/31/2021
3996	7123203	MOBILITYWORKS       	                    	3560 SHERIDAN DRIVE 	WMK LLC             	                    	RS 	11/14/2017	08/13/2019	10/31/2021
3997	7105460	MR TIRE 682         	                    	941 MILLERSPORT HWY 	MONRO INC           	                    	RS 	01/31/2008	12/28/2019	12/31/2021
3998	5150919	NIES AUTO SERV      	                    	4446 BAILEY AVE     	JOSEPH R NIES       	                    	RS 	10/13/1981	08/16/2013	09/30/2015
3999	7040588	NORTHTOWN COLLISION 	CENTRE              	3840 SHERIDAN DRIVE 	NORTHTOWN TOYOTA INC	                    	RSB	09/14/1987	07/21/2019	08/31/2021
4000	7112556	NORTHTOWN FIAT      	                    	3560 SHERIDAN DRIVE 	3560 SHERIDAN DR LLC	                    	RS 	08/03/2011	05/28/2015	07/31/2017
4001	7123498	NORTHTOWN HONDA     	                    	2277 NIAGARA FLS BLV	2277 NFB LLC        	                    	RS 	01/19/2018	11/11/2019	12/31/2021
4002	7040471	NORTHTOWN HYUNDAI   	GENESIS             	3673-3675 SHRIDAN DR	NORTHTOWN HYUNDAI   	INC                 	RS 	09/10/1987	07/19/2019	08/31/2021
4003	7121434	NORTHTOWN KIA       	                    	3900 SHERIDAN DRIVE 	3900 SHERIDAN DRIVE 	LLC                 	RS 	09/22/2016	08/04/2020	08/31/2022
4004	7052438	NORTHTOWN LEXUS     	                    	3845 SHERIDAN DRIVE 	NORTHTOWN LUXURY    	CARS INC            	RS 	08/10/1990	07/01/2020	07/31/2022
4005	7087298	NORTHTOWN MAZDA     	                    	3920 SHERIDAN DR    	NORTHTOWN WORLD AUTO	CENTRE LLC          	RS 	06/16/2000	05/19/2020	05/31/2022
4006	7122302	NORTHTOWN SUBARU    	                    	3930 SHERIDAN DRIVE 	3930 SD LLC         	                    	RS 	05/24/2017	04/09/2019	04/30/2021
4007	7081617	NORTHTOWN TOYOTA    	VOLKSWAGEN SCION    	1135 MILLERSPORT HWY	NORTHTOWN AUTOMOTIVE	COMPANIES INC       	RS 	06/05/1998	03/31/2014	05/31/2016
4008	7120513	NORTHTOWN TOYOTA    	VOLKSWAGEN          	1135 MILLERSPORT HWY	1135 MILLERSPORT    	HIGHWAY LLC         	RS 	01/25/2016	11/11/2019	12/31/2021
4009	7067712	PEP BOYS            	                    	1025 NIAGARA FLS BLV	PEP BOYS MANNY MOE &	JACK OF DELAWARE INC	RS 	08/05/1994	03/12/2020	03/31/2022
4010	7029721	PREMIER CAR CARE    	CENTER              	1171 NIAGARA FLS BLV	1171 NIAGARA FALLS  	BLVD INC            	RS 	04/05/1985	03/12/2013	03/31/2015
4011	7115605	PREMIER CAR CARE    	                    	1171 NIAGARA FLS BLV	JACKSUM ENTERPRISES 	INC                 	RS 	03/06/2013	01/31/2019	02/28/2021
4012	7105006	SEARS AUTO CENTER   	                    	1435 NIAGARA FLS BLV	SEARS ROEBUCK & CO  	                    	RS 	10/23/2007	07/07/2015	09/30/2017
4013	7110545	UNIVERSITY CAR CARE 	                    	3931 MAIN STREET    	MICHAEL E WENDLING  	                    	RS 	06/29/2010	05/29/2020	05/31/2022
4014	7083786	VALVOLINE INSTANT   	OIL CHANGE          	3550 SHERIDAN DR    	BUFFALO LUBE        	ASSOCIATES LP ETAL  	RS 	02/03/1999	12/12/2018	01/31/2021
4015	7115607	ZEIGLER HONDA       	AMHERST             	2277 NIAGARA FLS BLV	ZEIGLER IMPORTS     	AMHERST LLC         	RS 	03/07/2013	02/08/2017	02/28/2019
4016	5320127	BOBOWICZ AUTO BODY  	                    	3696 SHERIDAN DRIVE 	EDWARD P BOBOWICZ   	                    	RSB	10/29/1981	11/07/2013	10/31/2015
4017	7046738	AM WHOLESALE        	                    	9725 SOUTHWESTERN BL	ANTHONY ZOLNOWSKI   	                    	RS 	07/17/1989	11/24/2018	01/31/2021
4018	7097738	AUTOTUNE SERVICE &  	REPAIR              	9712 SOUTHWESTERN BL	NICHOLAS J LARSON   	                    	RS 	07/19/2004	07/06/2020	06/30/2022
4019	5151839	BASILS SERVICE      	CENTER              	8587 ERIE RD        	PHILIP CARPENTIERI  	                    	RS 	08/06/1980	08/03/2020	08/31/2022
